Ticker,PnL%,Reason,Hold,EntryDate,ExitDate
PCBL.NS,-3.7,Tight Trail -8%,18,2020-08-13,2020-08-31
TORNTPOWER.NS,6.34,Tight Trail -8%,116,2020-05-15,2020-09-08
JPPOWER.NS,-9.43,Tight Trail -8%,10,2020-09-11,2020-09-21
CDSL.NS,-1.08,Tight Trail -8%,10,2020-09-11,2020-09-21
ATGL.NS,-10.15,Tight Trail -8%,10,2020-09-11,2020-09-21
ATUL.NS,-0.67,Tight Trail -8%,10,2020-09-11,2020-09-21
TATAPOWER.NS,-6.53,Tight Trail -8%,10,2020-09-11,2020-09-21
ALKYLAMINE.NS,-3.55,Tight Trail -8%,11,2020-09-11,2020-09-22
EIHOTEL.NS,-6.3,Tight Trail -8%,11,2020-09-11,2020-09-22
TIMKEN.NS,-0.78,Tight Trail -8%,11,2020-09-11,2020-09-22
PCBL.NS,-0.98,Tight Trail -8%,13,2020-09-11,2020-09-24
JSWENERGY.NS,-4.68,Tight Trail -8%,13,2020-09-11,2020-09-24
SYNGENE.NS,21.56,Target +20%,14,2020-09-11,2020-09-25
FLUOROCHEM.NS,-6.38,Tight Trail -8%,19,2020-09-11,2020-09-30
ALKYLAMINE.NS,-5.67,Tight Trail -8%,13,2020-10-13,2020-10-26
JSWENERGY.NS,2.64,Tight Trail -8%,15,2020-10-13,2020-10-28
ANANTRAJ.NS,-6.75,Tight Trail -8%,16,2020-10-13,2020-10-29
PCBL.NS,4.33,Tight Trail -8%,16,2020-10-13,2020-10-29
ATGL.NS,21.28,Target +20%,22,2020-10-13,2020-11-04
BRIGADE.NS,23.43,Target +20%,23,2020-10-13,2020-11-05
ATGL.NS,24.83,Target +20%,6,2020-11-11,2020-11-17
METROPOLIS.NS,4.86,Tight Trail -8%,51,2020-10-13,2020-12-03
BRIGADE.NS,21.13,Target +20%,30,2020-11-11,2020-12-11
LINDEINDIA.NS,21.02,Target +20%,62,2020-10-13,2020-12-14
ATUL.NS,0.72,Tight Trail -8%,63,2020-10-13,2020-12-15
JPPOWER.NS,-9.76,Tight Trail -8%,1,2020-12-14,2020-12-15
DLF.NS,28.7,Target +20%,35,2020-11-11,2020-12-16
CDSL.NS,4.09,Tight Trail -8%,69,2020-10-13,2020-12-21
PRESTIGE.NS,5.28,Tight Trail -8%,69,2020-10-13,2020-12-21
PCBL.NS,0.13,Tight Trail -8%,40,2020-11-11,2020-12-21
DBREALTY.NS,-10.14,Tight Trail -8%,7,2020-12-14,2020-12-21
IGL.NS,20.99,Target +20%,56,2020-11-11,2021-01-06
ANANTRAJ.NS,21.98,Target +20%,29,2020-12-14,2021-01-12
SYNGENE.NS,6.48,Tight Trail -8%,97,2020-10-13,2021-01-18
BRIGADE.NS,-6.08,Tight Trail -8%,8,2021-01-13,2021-01-21
DLF.NS,-7.74,Tight Trail -8%,14,2021-01-13,2021-01-27
GAIL.NS,-7.86,Tight Trail -8%,14,2021-01-13,2021-01-27
TATAPOWER.NS,-11.53,Tight Trail -8%,14,2021-01-13,2021-01-27
IGL.NS,-8.8,Tight Trail -8%,16,2021-01-13,2021-01-29
MFSL.NS,20.42,Target +20%,90,2020-11-11,2021-02-09
DBREALTY.NS,5.54,Tight Trail -8%,30,2021-01-13,2021-02-12
ATGL.NS,38.46,Target +20%,64,2020-12-14,2021-02-16
LEMONTREE.NS,-1.82,Tight Trail -8%,40,2021-01-13,2021-02-22
SOBHA.NS,-9.4,Tight Trail -8%,44,2021-01-13,2021-02-26
ANANTRAJ.NS,20.65,Target +20%,17,2021-02-12,2021-03-01
TATAPOWER.NS,20.56,Target +20%,19,2021-02-12,2021-03-03
GUJGASLTD.NS,22.3,Target +20%,19,2021-02-12,2021-03-03
ADANIPOWER.NS,24.63,Target +20%,20,2021-02-12,2021-03-04
ABREL.NS,6.36,Tight Trail -8%,25,2021-02-12,2021-03-09
DLF.NS,-6.61,Tight Trail -8%,33,2021-02-12,2021-03-17
GAIL.NS,4.14,Tight Trail -8%,33,2021-02-12,2021-03-17
SKFINDIA.NS,-6.98,Tight Trail -8%,34,2021-02-12,2021-03-18
ANANTRAJ.NS,-8.86,Tight Trail -8%,2,2021-03-16,2021-03-18
ALKYLAMINE.NS,22.23,Target +20%,69,2021-01-13,2021-03-23
