regime,trend,volume,horizon,n,avg_ret,median_ret,win_rate,avg_winner,avg_loser,payoff_ratio,max_dd,sharpe,sortino,calmar,var_95,cvar_95,worst_trade,best_trade
Mild_Bull,60-80,Drop,90,249,10.42,9.26,67.9,20.48,-10.83,1.89,54.04,0.79,2.18,0.19,-16.7,-24.34,-41.3,120.94
Mild_Bull,60-80,Jump,60,118,4.38,4.07,64.4,12.38,-10.09,1.23,43.35,0.64,0.89,0.1,-20.82,-28.79,-38.96,34.06
Mild_Bull,60-80,Jump,90,118,7.57,9.33,68.6,16.45,-11.87,1.39,43.35,0.76,1.33,0.17,-21.91,-28.17,-31.82,41.48
Mild_Bull,20-40,Spike,60,81,2.67,2.59,58.0,13.0,-11.61,1.12,55.28,0.34,0.54,0.05,-26.28,-29.82,-36.53,42.96
Mild_Bull,20-40,Spike,90,81,7.57,5.12,63.0,18.65,-11.27,1.65,55.28,0.62,1.36,0.14,-21.69,-26.12,-35.98,72.57
Mild_Bull,20-40,Flat,60,363,1.86,-0.83,49.0,13.85,-9.68,1.43,54.98,0.24,0.52,0.03,-19.42,-25.19,-38.6,113.05
Mild_Bull,20-40,Flat,90,363,4.36,1.14,54.3,16.99,-10.62,1.6,54.98,0.36,0.88,0.08,-21.09,-27.96,-37.61,164.0
Mild_Bull,20-40,Big_Drop,60,140,1.05,0.26,50.7,13.04,-11.29,1.15,53.72,0.14,0.26,0.02,-23.67,-27.32,-33.63,43.25
Mild_Bull,20-40,Big_Drop,90,140,3.83,1.44,53.6,16.59,-10.89,1.52,53.72,0.34,0.8,0.07,-22.08,-25.89,-28.86,71.43
Mild_Bull,20-40,Drop,60,110,1.73,-1.08,42.7,14.85,-8.06,1.84,32.87,0.22,0.52,0.05,-17.66,-24.02,-29.44,58.51
Mild_Bull,20-40,Drop,90,110,4.55,-0.62,45.5,19.19,-7.66,2.5,35.7,0.37,1.04,0.13,-19.08,-23.29,-27.12,93.62
Mild_Bull,20-40,Jump,60,77,1.06,-2.63,44.2,15.85,-10.64,1.49,47.79,0.13,0.34,0.02,-20.7,-22.09,-23.96,48.72
Mild_Bull,20-40,Jump,90,77,5.36,2.14,53.2,20.98,-12.43,1.69,47.79,0.37,1.12,0.11,-23.77,-28.22,-31.16,97.73
