sector,regime,trend,volume,horizon,n,avg_ret,win_rate,sharpe
Pharma,Strong_Bull,80-100,Big_Drop,60,101,3.8340010273283585,57.42574257425742,0.6653230612359524
Pharma,Strong_Bull,80-100,Big_Drop,90,101,6.582422175778058,69.3069306930693,0.7408285701606615
Pharma,Strong_Bull,80-100,Spike,60,46,5.867288679346245,78.26086956521739,1.0486792494633927
Pharma,Strong_Bull,80-100,Spike,90,46,5.4921800267556895,65.21739130434783,0.6270074030670397
Pharma,Strong_Bull,80-100,Jump,60,50,2.797381185239044,56.00000000000001,0.42902677124751215
Pharma,Strong_Bull,80-100,Jump,90,50,5.803954298241729,66.0,0.7004324780088084
Pharma,Mild_Bull,20-40,Flat,60,45,-0.5685781913059036,44.44444444444444,-0.07753380999845373
Pharma,Mild_Bull,20-40,Flat,90,45,0.21124466827634242,46.666666666666664,0.016253275398108773
Pharma,Mild_Bull,20-40,Drop,60,16,-0.21750331013115298,18.75,-0.03395896515503919
Pharma,Mild_Bull,20-40,Drop,90,16,2.306161688049853,43.75,0.17602507190814135
Pharma,Mild_Bull,20-40,Big_Drop,60,25,2.012995646631133,60.0,0.23565256415979077
Pharma,Mild_Bull,20-40,Big_Drop,90,25,4.831679856437686,56.00000000000001,0.32774397401747385
Pharma,Mild_Bull,20-40,Spike,60,17,3.393391691369957,52.94117647058824,0.33315394810071636
Pharma,Mild_Bull,20-40,Spike,90,17,12.210660111036844,70.58823529411765,0.723665370717137
Pharma,Mild_Bull,0-20,Flat,60,33,4.539743013628664,51.515151515151516,0.45887395916077306
Pharma,Mild_Bull,0-20,Flat,90,33,9.190119342500461,60.60606060606061,0.7371648732572611
Pharma,Mild_Bull,0-20,Drop,60,23,3.390153598020944,60.86956521739131,0.4156424453002377
Pharma,Mild_Bull,0-20,Drop,90,23,6.965432540055374,65.21739130434783,0.6025684064429045
Pharma,Mild_Bull,0-20,Big_Drop,60,19,4.80825527486314,52.63157894736842,0.4211714166449778
Pharma,Mild_Bull,0-20,Big_Drop,90,19,5.87530354665198,52.63157894736842,0.3776314926902247
Pharma,Mild_Bull,0-20,Jump,60,16,12.358224226108625,62.5,1.1041342157432126
Pharma,Mild_Bull,0-20,Jump,90,16,13.037979771042789,68.75,0.8078097490088361
Pharma,Mild_Bull,60-80,Flat,60,38,1.8446488247223944,47.368421052631575,0.2968709481976711
Pharma,Mild_Bull,60-80,Flat,90,38,5.81537714709437,55.26315789473685,0.6179748999783149
Pharma,Mild_Bull,60-80,Drop,60,16,0.5472307067864617,50.0,0.06628554946269243
Pharma,Mild_Bull,60-80,Drop,90,16,4.124779628553153,37.5,0.32608232113156216
Pharma,Mild_Bull,80-100,Flat,60,45,6.073741400312844,66.66666666666666,0.9101773655824396
Pharma,Mild_Bull,80-100,Flat,90,45,5.6216977580127665,60.0,0.5196978496879089
Pharma,Mild_Bull,80-100,Drop,60,36,0.5203881196937458,52.77777777777778,0.09982934726527048
Pharma,Mild_Bull,80-100,Drop,90,36,2.8762852895551756,52.77777777777778,0.3336698878490029
Pharma,Mild_Bull,80-100,Big_Drop,60,28,0.13809492088490452,50.0,0.019204034163728127
Pharma,Mild_Bull,80-100,Big_Drop,90,28,0.8110246120470019,50.0,0.08371896205461078
Pharma,Mild_Bull,80-100,Jump,60,20,5.701177744403054,55.00000000000001,0.8695084999539827
Pharma,Mild_Bull,80-100,Jump,90,20,3.0204867958772335,40.0,0.31330120756042246
Pharma,Strong_Bear,20-40,Flat,60,19,1.821856203028042,52.63157894736842,0.386346155936675
Pharma,Strong_Bear,20-40,Flat,90,19,4.2939292252432155,63.1578947368421,0.5209932830073041
Pharma,Strong_Bear,0-20,Flat,60,37,15.188328438489782,89.1891891891892,1.1873224646553397
Pharma,Strong_Bear,0-20,Flat,90,37,16.999484968052716,67.56756756756756,0.8010348800701717
