alert_id,alert_date,ticker,alert_type,message
92,2026-03-27 11:08:06,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*RENUKA.NS*\nPrice: ₹26.49\nRS Score: 19.69
93,2026-03-27 11:08:06,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*APARINDS.NS*\nPrice: ₹10,608.00\nRS Score: 19.21"
94,2026-03-27 11:08:06,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*ASTERDM.NS*\nPrice: ₹668.00\nRS Score: 17.93
95,2026-03-27 11:08:06,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*GLENMARK.NS*\nPrice: ₹2,170.50\nRS Score: 16.38"
96,2026-03-27 11:08:06,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*NLCINDIA.NS*\nPrice: ₹270.40\nRS Score: 15.94
97,2026-03-30 11:20:07,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*IRB.NS*\nPrice: ₹22.14\nRS Score: 18.99
98,2026-03-30 11:20:07,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*STAR.NS*\nPrice: ₹937.75\nRS Score: 18.2
99,2026-03-30 11:20:07,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*GANECOS.NS*\nPrice: ₹851.85\nRS Score: 17.0
100,2026-03-30 11:20:07,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*VOLTAMP.NS*\nPrice: ₹8,685.50\nRS Score: 16.9"
101,2026-03-30 11:20:07,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*DMART.NS*\nPrice: ₹3,956.80\nRS Score: 15.52"
102,2026-03-31 11:12:01,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*GRANULES.NS*\nPrice: ₹620.40\nRS Score: 15.08
103,2026-03-31 11:12:01,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*HONASA.NS*\nPrice: ₹298.25\nRS Score: 15.0
104,2026-03-31 11:12:01,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*GPIL.NS*\nPrice: ₹268.80\nRS Score: 14.78
105,2026-03-31 11:12:01,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*TORNTPHARM.NS*\nPrice: ₹4,220.20\nRS Score: 14.52"
