date,value,mode
2017-03-07,1195798.6957304194,LEAP
2017-03-08,1191177.326330395,LEAP
2017-03-09,1188652.171880932,LEAP
2017-03-10,1188438.103811474,LEAP
2017-03-14,1199726.9484922602,LEAP
2017-03-15,1197863.8136503412,LEAP
2017-03-16,1212059.205602856,LEAP
2017-03-17,1213995.4829771235,LEAP
2017-03-20,1208720.3550321772,LEAP
2017-03-21,1209029.3213102533,LEAP
2017-03-22,1205099.0610105707,LEAP
2017-03-23,1209265.0488035395,LEAP
2017-03-24,1206258.3345853998,LEAP
2017-03-27,1196576.559683056,LEAP
2017-03-28,1201298.508611889,LEAP
2017-03-29,1203134.7132017328,LEAP
2017-03-30,1201427.0130827143,LEAP
2017-03-31,1203312.7088377192,LEAP
2017-04-03,1203403.94206831,LEAP
2017-04-05,1207752.4033567621,LEAP
2017-04-06,1211376.60902998,LEAP
2017-04-07,1203553.083914013,LEAP
2017-04-10,1202877.815771313,LEAP
2017-04-11,1198134.3362791254,LEAP
2017-04-12,1192734.5857145502,LEAP
2017-04-13,1178571.4744577603,LEAP
2017-04-17,1188001.760514279,LEAP
2017-04-18,1173108.5004282193,LEAP
2017-04-19,1178485.8044443326,LEAP
2017-04-20,1185375.2282724576,LEAP
2017-04-21,1189248.2412882047,LEAP
2017-04-24,1198096.5081796842,LEAP
2017-04-25,1206071.0064249234,LEAP
2017-04-26,1203822.1928415494,LEAP
2017-04-27,1204832.4525766568,LEAP
2017-04-28,1205536.3220987516,LEAP
2017-05-02,1209797.137314816,LEAP
2017-05-03,1207155.0552530484,LEAP
2017-05-04,1205688.8648996549,LEAP
2017-05-05,1200238.0270090299,LEAP
2017-05-08,1211071.3532114225,LEAP
2017-05-09,1214549.8544168668,LEAP
2017-05-10,1226792.875092526,LEAP
2017-05-11,1231287.6351633267,LEAP
2017-05-12,1234843.8362283902,LEAP
2017-05-15,1247335.8872537808,LEAP
2017-05-16,1252310.5875253873,LEAP
2017-05-17,1275465.8924265103,LEAP
2017-05-18,1258889.970505734,LEAP
2017-05-19,1261939.9440775113,LEAP
2017-05-22,1255561.3580484586,LEAP
2017-05-23,1246438.9399881558,LEAP
2017-05-24,1234045.8307047086,LEAP
2017-05-25,1249123.7459421353,LEAP
2017-05-26,1264280.6743936734,LEAP
2017-05-29,1246003.5819559293,LEAP
2017-05-30,1256028.9088449674,LEAP
2017-05-31,1252728.3467569547,LEAP
2017-06-01,1244998.34643652,LEAP
2017-06-02,1241400.3646555142,LEAP
2017-06-05,1244822.5346231656,LEAP
2017-06-06,1240075.0524912076,LEAP
2017-06-07,1244259.7865762906,LEAP
2017-06-08,1250598.7716684537,LEAP
2017-06-09,1271660.6089334683,LEAP
2017-06-12,1267882.2380686002,LEAP
2017-06-13,1269304.9728555875,LEAP
2017-06-14,1268146.812729855,LEAP
2017-06-15,1269248.819321652,LEAP
2017-06-16,1271967.1725168424,LEAP
2017-06-19,1281447.7348489957,LEAP
2017-06-20,1282615.5224771695,LEAP
2017-06-21,1287541.1140604215,LEAP
2017-06-22,1285261.556000729,LEAP
2017-06-23,1270162.440201779,LEAP
2017-06-27,1261396.2603006558,LEAP
2017-06-28,1270040.622483273,LEAP
2017-06-29,1282596.9673776822,LEAP
2017-06-30,1284935.6588449674,LEAP
2017-07-03,1297187.3306894498,LEAP
2017-07-04,1296576.260148068,LEAP
2017-07-05,1301547.7988290982,LEAP
2017-07-06,1314167.4405679898,LEAP
2017-07-07,1316957.7312631803,LEAP
2017-07-10,1321704.376603146,LEAP
2017-07-11,1315776.3873300748,LEAP
2017-07-12,1322681.0691843228,LEAP
2017-07-13,1329043.8016519742,LEAP
2017-07-14,1328641.9932565885,LEAP
2017-07-17,1334325.7575082975,LEAP
2017-07-18,1331768.6124582486,LEAP
2017-07-19,1340271.846512814,LEAP
2017-07-20,1335157.3978128629,LEAP
2017-07-21,1327295.2026071744,LEAP
2017-07-24,1325850.6249704557,LEAP
2017-07-25,1325293.6907968717,LEAP
2017-07-26,1335705.860978146,LEAP
2017-07-27,1337279.842545529,LEAP
2017-07-28,1328670.7384653287,LEAP
2017-07-31,1347010.3056192594,LEAP
2017-08-01,1355262.8394632535,LEAP
2017-08-02,1349637.5233621793,LEAP
2017-08-03,1336688.1060342984,LEAP
2017-08-04,1351960.107300778,LEAP
2017-08-07,1371103.2053690152,LEAP
2017-08-08,1359838.4390878873,LEAP
2017-08-09,1350202.758332272,LEAP
2017-08-10,1326665.6538553433,LEAP
2017-08-11,1284655.7002823453,FROG
2017-08-14,1286744.7113297086,LEAP
2017-08-16,1295046.617976437,LEAP
2017-08-17,1296246.7791702847,LEAP
2017-08-18,1291266.995321217,LEAP
2017-08-21,1284676.782008057,FROG
2017-08-22,1283174.6177624515,FROG
2017-08-23,1283615.1694287113,LEAP
2017-08-24,1286019.0899914554,LEAP
2017-08-28,1297863.235926514,LEAP
2017-08-29,1291998.8336132816,FROG
2017-08-30,1297019.1633862308,LEAP
2017-08-31,1299512.7456616214,LEAP
2017-09-01,1296983.1331127933,LEAP
2017-09-04,1289872.7618054203,LEAP
2017-09-05,1294492.8624829105,LEAP
2017-09-06,1289153.9942883304,LEAP
2017-09-07,1289716.6094311527,LEAP
2017-09-08,1289382.2345080571,LEAP
2017-09-11,1292418.6763110356,LEAP
2017-09-12,1298771.8017687993,LEAP
2017-09-13,1295291.6683154302,LEAP
2017-09-14,1296556.1030993657,LEAP
2017-09-15,1297869.0665698247,LEAP
2017-09-18,1300625.454936524,LEAP
2017-09-19,1301904.3682360845,LEAP
2017-09-20,1299680.3643298345,LEAP
2017-09-21,1300575.022197266,LEAP
2017-09-22,1295166.6374621587,LEAP
2017-09-25,1295083.7837329106,FROG
2017-09-26,1290093.1756343083,FROG
2017-09-27,1284267.612746735,FROG
2017-09-28,1288934.6158290105,FROG
2017-09-29,1285625.1891932683,FROG
2017-10-03,1289120.4214320378,FROG
2017-10-04,1294984.5511012273,FROG
2017-10-05,1293237.1317897039,FROG
2017-10-06,1298521.8175807195,LEAP
2017-10-09,1299683.1973414617,LEAP
2017-10-10,1298551.439437409,LEAP
2017-10-11,1300014.058425446,LEAP
2017-10-12,1311666.050033112,LEAP
2017-10-13,1311233.8455958562,LEAP
2017-10-16,1316732.8234400945,LEAP
2017-10-17,1322084.6824488835,LEAP
2017-10-18,1317373.246718903,LEAP
2017-10-19,1314172.405715485,LEAP
2017-10-23,1311874.1819606023,LEAP
2017-10-24,1312449.0568995671,LEAP
2017-10-25,1311411.1099696355,LEAP
2017-10-26,1313210.3465419011,LEAP
