Date,Strategy,Equity,Regime,Holdings,Cash,Peak,DD
2022-01-19,QUALITY_DIP,1069261.65630457,SIDEWAYS,8,304453.75145742483,1131093.1837186576,-5.466528160907681
2022-01-20,QUALITY_DIP,1065016.3847629745,SIDEWAYS,8,304453.75145742483,1131093.1837186576,-5.84185281167062
2022-01-21,QUALITY_DIP,1059976.1572363097,SIDEWAYS,8,304453.75145742483,1131093.1837186576,-6.287459557358376
2022-01-24,QUALITY_DIP,1039156.7195226867,BEAR,8,304453.75145742483,1131093.1837186576,-8.12810699589882
2022-01-25,QUALITY_DIP,1034098.748235913,BEAR,8,304453.75145742483,1131093.1837186576,-8.575282468227702
2022-01-27,QUALITY_DIP,1034055.6248964126,SIDEWAYS,10,178367.9534343536,1131093.1837186576,-8.579095004641246
2022-01-28,QUALITY_DIP,1047607.4198964889,SIDEWAYS,10,178367.9534343536,1131093.1837186576,-7.380980190128572
2022-01-31,QUALITY_DIP,1060189.7399781998,SIDEWAYS,10,178367.9534343536,1131093.1837186576,-6.268576697399135
2022-02-01,QUALITY_DIP,1067933.5431436356,SIDEWAYS,10,178367.9534343536,1131093.1837186576,-5.583946706086064
2022-02-02,QUALITY_DIP,1074795.0447840698,SIDEWAYS,9,287481.5326628692,1131093.1837186576,-4.977321032870016
2022-02-03,QUALITY_DIP,1065125.3620133407,SIDEWAYS,9,287481.5326628692,1131093.1837186576,-5.8322181279916006
2022-02-04,QUALITY_DIP,1062267.054422856,SIDEWAYS,9,287481.5326628692,1131093.1837186576,-6.084921232530474
2022-02-07,QUALITY_DIP,1057635.601423741,SIDEWAYS,9,287481.5326628692,1131093.1837186576,-6.494388203579518
2022-02-08,QUALITY_DIP,1050200.9848294265,SIDEWAYS,9,287481.5326628692,1131093.1837186576,-7.151682996027302
2022-02-09,QUALITY_DIP,1053455.9669680602,SIDEWAYS,9,287481.5326628692,1131093.1837186576,-6.863909876580817
2022-02-10,QUALITY_DIP,1053984.1333865174,SIDEWAYS,10,146093.8290251739,1131093.1837186576,-6.817214659417477
2022-02-11,QUALITY_DIP,1039797.1729678161,SIDEWAYS,10,146093.8290251739,1131093.1837186576,-8.071484477582173
2022-02-14,QUALITY_DIP,1021917.4143828399,BEAR,10,146093.8290251739,1131093.1837186576,-9.652234750180714
2022-02-15,QUALITY_DIP,1036844.7439641006,SIDEWAYS,10,146093.8290251739,1131093.1837186576,-8.332508860560853
2022-02-16,QUALITY_DIP,1037556.3461150177,SIDEWAYS,10,146093.8290251739,1131093.1837186576,-8.269596081918023
2022-02-17,QUALITY_DIP,1034444.7097271926,SIDEWAYS,10,146093.8290251739,1131093.1837186576,-8.544695996992658
2022-02-18,QUALITY_DIP,1029692.8917349823,SIDEWAYS,10,146093.8290251739,1131093.1837186576,-8.964804442575186
2022-02-21,QUALITY_DIP,1013827.5096831378,SIDEWAYS,8,386182.0085845049,1131093.1837186576,-10.367463593935678
2022-02-22,QUALITY_DIP,1009947.9543852862,SIDEWAYS,8,386182.0085845049,1131093.1837186576,-10.710455254896527
2022-02-23,QUALITY_DIP,1013092.5365996417,SIDEWAYS,8,386182.0085845049,1131093.1837186576,-10.43244259779456
2022-02-24,QUALITY_DIP,984676.6844850334,BEAR,10,256400.45388515317,1131093.1837186576,-12.944689380255614
2022-02-25,QUALITY_DIP,1006901.3410364517,SIDEWAYS,9,312222.6198250183,1131093.1837186576,-10.979806480126106
2022-02-28,QUALITY_DIP,1010005.7721074279,SIDEWAYS,8,384522.27348834835,1131093.1837186576,-10.705343587442954
2022-03-02,QUALITY_DIP,1008933.634111708,BEAR,8,384522.27348834835,1131093.1837186576,-10.800131356581042
2022-03-03,QUALITY_DIP,1016856.8872049698,BEAR,7,487050.3531502136,1131093.1837186576,-10.099636188958096
2022-03-04,QUALITY_DIP,1003450.4221150574,BEAR,6,554351.0026814636,1131093.1837186576,-11.284902379479767
2022-03-07,QUALITY_DIP,988113.3990833267,BEAR,5,678990.2956697448,1131093.1837186576,-12.640849285755662
2022-03-08,QUALITY_DIP,993636.411206549,BEAR,4,743320.1783650573,1131093.1837186576,-12.152559531850105
2022-03-09,QUALITY_DIP,999490.7270072158,BEAR,4,743320.1783650573,1131093.1837186576,-11.634979204699714
2022-03-10,QUALITY_DIP,1006930.9963309082,BEAR,3,807356.0447851928,1131093.1837186576,-10.977184654189633
2022-03-11,QUALITY_DIP,1002299.4737160094,SIDEWAYS,9,363183.97890399775,1131093.1837186576,-11.386657779973298
2022-03-14,QUALITY_DIP,999833.3413369544,SIDEWAYS,9,363183.97890399775,1131093.1837186576,-11.604688656169298
2022-03-15,QUALITY_DIP,1002859.5545847304,SIDEWAYS,9,363183.97890399775,1131093.1837186576,-11.337141004805432
2022-03-16,QUALITY_DIP,1017048.77712797,SIDEWAYS,9,363183.97890399775,1131093.1837186576,-10.082671192107052
2022-03-17,QUALITY_DIP,1025972.6077914413,MILD_BULL,8,432984.8380055602,1131093.1837186576,-9.293714915831682
2022-03-21,QUALITY_DIP,1021734.8549351867,SIDEWAYS,8,432984.8380055602,1131093.1837186576,-9.668374839280451
2022-03-22,QUALITY_DIP,1024541.2808661635,MILD_BULL,8,432984.8380055602,1131093.1837186576,-9.420258594626738
2022-03-23,QUALITY_DIP,1025266.6032352431,MILD_BULL,7,512740.8145189269,1131093.1837186576,-9.356132810869916
2022-03-24,QUALITY_DIP,1023239.4651293738,MILD_BULL,7,512740.8145189269,1131093.1837186576,-9.535352183336183
2022-03-25,QUALITY_DIP,1022085.5822173866,SIDEWAYS,5,639405.1298796447,1131093.1837186576,-9.63736702425262
2022-03-28,QUALITY_DIP,1019746.0834552939,MILD_BULL,9,308265.18835803826,1131093.1837186576,-9.844202216592935
2022-03-29,QUALITY_DIP,1037927.4578192886,MILD_BULL,8,396423.5793402847,1131093.1837186576,-8.236786079204467
2022-03-30,QUALITY_DIP,1043355.4116638931,MILD_BULL,7,493681.2488220962,1131093.1837186576,-7.756900432050336
2022-03-31,QUALITY_DIP,1046635.4866331848,MILD_BULL,7,493681.2488220962,1131093.1837186576,-7.466908854300049
2022-04-01,QUALITY_DIP,1063886.242901686,MILD_BULL,7,493681.2488220962,1131093.1837186576,-5.941768705211134
2022-04-04,QUALITY_DIP,1085931.2103607808,MILD_BULL,4,776865.6396820698,1131093.1837186576,-3.992772125935658
2022-04-05,QUALITY_DIP,1092241.0204962788,MILD_BULL,3,846015.573718935,1131093.1837186576,-3.4349215238523363
2022-04-06,QUALITY_DIP,1097892.5389691791,SIDEWAYS,1,1024186.822111269,1131093.1837186576,-2.9352705177062224
2022-04-07,QUALITY_DIP,1098035.9505292377,SIDEWAYS,1,1024186.822111269,1131093.1837186576,-2.9225914951355887
2022-04-08,QUALITY_DIP,1098200.8679486713,SIDEWAYS,1,1024186.822111269,1131093.1837186576,-2.9080111385560006
2022-04-11,QUALITY_DIP,1095706.3967363606,SIDEWAYS,7,557388.9767229329,1131093.1837186576,-3.12854745229363
2022-04-12,QUALITY_DIP,1088752.1432878743,SIDEWAYS,7,557388.9767229329,1131093.1837186576,-3.7433733170931203
2022-04-13,QUALITY_DIP,1089900.0786287556,SIDEWAYS,6,631261.2635347615,1131093.1837186576,-3.6418843012096263
2022-04-18,QUALITY_DIP,1078181.2475801716,SIDEWAYS,5,723950.060995699,1131093.1837186576,-4.677946689107364
