ticker,entry_date,exit_date,pnl,days_held,entry_rs,entry_vol,entry_trend,entry_regime,exit_reason,rs_bucket,vol_bucket,hold_bucket
GODREJPROP,2019-07-25,2019-10-01,4.130262112787927,68,10.959953941098638,49.25331488437038,100,Mild_Bull,Trail,10-20%,45-60%,60-120d
HEROMOTOCO,2019-08-08,2019-11-15,-1.7272716907222878,99,5.423298067750341,38.35251982273367,75,Mild_Bull,Stop,5-10%,35-45%,60-120d
TRENT,2019-08-01,2019-11-21,17.03465161163601,112,17.766061341153783,33.59428451743705,100,Mild_Bull,Trail,10-20%,30-35%,60-120d
BEL,2019-08-29,2019-11-25,1.9579660748343417,88,2.3114762993346103,47.71319946492103,100,Mild_Bull,Trail,2-5%,45-60%,60-120d
JINDALSTEL,2019-11-15,2019-12-05,-1.706715506452263,20,36.15957130799134,65.54246841181167,90,Strong_Bull,Stop,20-50%,60%+,<30d
TATAPOWER,2019-09-17,2019-12-06,-16.340895951719567,80,6.4685732814079095,40.95075223650937,75,Strong_Bear,Stop,5-10%,35-45%,60-120d
NMDC,2019-12-06,2020-01-27,12.6754242990395,52,28.350564271484217,47.58872473928994,100,Strong_Bull,Trail,20-50%,45-60%,30-60d
RELIANCE,2019-08-21,2020-01-30,13.596116257220345,162,2.3669853750035843,30.373621765520998,100,Mild_Bull,Trail,2-5%,30-35%,120-365d
MOTHERSON,2019-11-25,2020-01-31,2.21713814801845,67,25.39253252687466,51.84741058186838,90,Strong_Bull,Trail,20-50%,45-60%,60-120d
EICHERMOT,2019-11-21,2020-02-17,-15.571655879671564,88,26.0470816275335,46.32649306633193,100,Strong_Bull,Stop,20-50%,45-60%,60-120d
JINDALSTEL,2019-12-05,2020-02-24,23.954633913359615,81,43.01967076110096,68.21542085434578,90,Strong_Bull,Trail,20-50%,60%+,60-120d
PRESTIGE,2020-01-30,2020-02-27,-15.575418255761583,28,21.39171447566551,57.006375457238555,100,Mild_Bull,Stop,20-50%,45-60%,<30d
HAL,2020-01-31,2020-03-02,-17.41700140331242,31,3.1473656486997075,35.512553025932796,100,Mild_Bull,Stop,2-5%,35-45%,30-60d
ABB,2019-07-09,2020-03-03,-16.503450486490944,238,12.521023011803436,33.764461363012074,100,Mild_Bull,Stop,10-20%,30-35%,120-365d
