ticker,period,return,sector,beta,corr,volatility,rs_score,adx,dd,vol_trend,price,ma200
NATIONALUM.NS,2025_CHOP,81.11901534981189,Aluminium,0.9639425521482923,0.28734437966921395,40.83709230942496,5.0168871641918535,59.85336829625289,-15.271289472489343,0.4282104997582105,201.59542846679688,181.19677021026612
NAVINFLUOR.NS,2025_CHOP,80.34625770914066,Specialty Chemicals,1.4269388169269501,0.5804034779629383,29.92827684848061,-0.8500292382473323,38.2304907405217,-14.907657444305075,1.244401058551071,3272.0390625,3367.458684082031
ASHOKLEY.NS,2025_CHOP,78.78022561461238,Commercial Vehicles,1.1109693231075788,0.5678648667305183,23.81570452721955,2.3904031027193495,29.480628203780125,-14.22395112789489,0.5055111207354795,108.73685455322266,106.72086463928223
AUBANK.NS,2025_CHOP,69.97456589344675,Other Bank,0.7077957514890695,0.2889002790794855,29.824032003687602,-14.441250184073192,37.57803638591631,-28.969812711126952,1.1230812980588112,567.8496704101562,633.9475650024414
SHRIRAMFIN.NS,2025_CHOP,67.34479168856274,Non Banking Financial Company (NBFC),1.3600676039986357,0.5341921285354685,30.993411213403572,-9.72379737790248,39.76124980078263,-19.002898766070324,0.42754714130083155,574.9207763671875,562.5641758728027
CUB.NS,2025_CHOP,65.7783711189557,Private Sector Bank,0.2622249292568946,0.09960040695752251,32.04935034635844,14.008577081216918,33.69205914016095,-7.028613564460849,0.19240899552772311,172.18772888183594,159.63518417358398
INDIANB.NS,2025_CHOP,65.42256924656294,Public Sector Bank,1.145028144282497,0.3834158331198217,36.354023625654946,6.150400198916864,39.264973475764535,-14.988500296579147,1.300593576154471,504.64697265625,526.8581242370606
MUTHOOTFIN.NS,2025_CHOP,61.54774570374351,Non Banking Financial Company (NBFC),0.6263907858527425,0.301034727014356,25.329996459490232,21.211846344627084,62.823507470741674,0.0,1.0607421309920686,2188.26953125,1796.4816772460938
GVT&D.NS,2025_CHOP,60.89557290228809,Heavy Electrical Equipment,0.052584762892443286,0.0160103477706262,39.98209263136992,29.484195622118715,35.85446487853212,-4.961144468511493,0.35488261898562307,2045.0531005859375,1531.006827392578
KARURVYSYA.NS,2025_CHOP,58.87070432373562,Private Sector Bank,0.8173298112476379,0.29602514451204537,33.61051015661351,13.313076224258664,55.52359013198676,-7.056356092155689,0.7141613485705154,186.1576690673828,171.99430549621582
GRSE.NS,2025_CHOP,58.15851596665532,Aerospace & Defense,1.9218232713552685,0.39016401160849506,59.96151628554172,4.566610423905591,26.17443863809483,-39.07518263751333,1.3655627853679826,1628.967041015625,1569.1359375
