Period,Sector,Month,Month_Name,Avg%,Median%,StdDev%,Win%,Best%,Worst%,Alpha%,Consistency%,Score,N_Years
10Y,Fertilizers,3,Mar,3.37,5.39,9.94,60.0,15.35,-14.46,2.6,70.0,1.417,10
10Y,Fertilizers,4,Apr,10.78,13.54,10.65,80.0,24.18,-8.27,7.62,60.0,5.174,10
10Y,Fertilizers,5,May,2.68,1.33,8.89,60.0,16.87,-10.65,1.34,70.0,1.126,10
10Y,Fertilizers,6,Jun,4.66,7.43,14.04,60.0,31.09,-16.68,3.06,80.0,2.236,10
10Y,Fertilizers,7,Jul,2.09,2.41,7.31,60.0,14.91,-11.08,-0.98,80.0,1.006,10
10Y,Fertilizers,8,Aug,0.16,-0.2,5.23,50.0,8.18,-8.95,-1.27,70.0,0.057,10
10Y,Fertilizers,9,Sep,-1.34,-3.43,6.77,30.0,10.15,-9.74,-1.07,60.0,-0.241,10
10Y,Fertilizers,10,Oct,2.93,1.76,6.43,50.0,11.11,-7.66,2.02,70.0,1.024,10
10Y,Fertilizers,11,Nov,2.31,0.32,7.36,60.0,16.1,-6.85,0.4,70.0,0.97,10
10Y,Fertilizers,12,Dec,7.27,7.02,5.31,90.0,16.38,-1.05,5.73,80.0,5.236,10
10Y,Heavy Electrical Equipment,1,Jan,1.15,2.34,7.67,60.0,12.67,-11.14,1.28,60.0,0.413,10
10Y,Heavy Electrical Equipment,2,Feb,-0.51,-1.06,11.22,40.0,17.85,-16.57,0.51,60.0,-0.121,10
10Y,Heavy Electrical Equipment,3,Mar,1.69,4.63,12.6,70.0,15.02,-27.34,0.92,70.0,0.827,10
10Y,Heavy Electrical Equipment,4,Apr,7.94,7.81,7.01,80.0,20.48,-1.65,4.78,60.0,3.811,10
10Y,Heavy Electrical Equipment,5,May,3.65,-0.62,11.62,50.0,18.8,-10.85,2.31,60.0,1.095,10
10Y,Heavy Electrical Equipment,6,Jun,3.87,4.08,10.17,60.0,25.58,-9.31,2.27,80.0,1.856,10
10Y,Heavy Electrical Equipment,7,Jul,1.72,2.98,8.67,70.0,12.24,-18.67,-1.35,70.0,0.845,10
10Y,Heavy Electrical Equipment,8,Aug,1.1,0.38,9.28,50.0,16.7,-11.8,-0.34,70.0,0.384,10
10Y,Heavy Electrical Equipment,9,Sep,1.29,2.89,6.96,60.0,8.36,-12.49,1.57,60.0,0.466,10
10Y,Heavy Electrical Equipment,10,Oct,2.34,3.01,3.88,70.0,8.78,-2.98,1.44,60.0,0.983,10
10Y,Heavy Electrical Equipment,11,Nov,2.73,1.5,9.19,70.0,22.38,-7.15,0.82,70.0,1.337,10
10Y,Heavy Electrical Equipment,12,Dec,4.47,3.12,9.21,60.0,21.51,-4.93,2.92,70.0,1.878,10
10Y,Industrial Products,1,Jan,-6.42,-5.6,9.3,25.0,3.96,-18.44,-4.88,50.0,-0.802,4
10Y,Industrial Products,2,Feb,-3.61,0.43,11.29,50.0,4.9,-20.18,-2.17,75.0,-1.353,4
10Y,Industrial Products,3,Mar,8.13,6.88,5.7,100.0,14.35,3.16,5.4,67.0,5.42,3
10Y,Industrial Products,4,Apr,3.43,4.1,1.31,100.0,4.26,1.92,0.5,67.0,2.284,3
10Y,Industrial Products,5,May,15.72,11.16,8.3,100.0,25.3,10.7,14.39,67.0,10.48,3
10Y,Industrial Products,6,Jun,8.19,4.82,10.8,67.0,20.28,-0.52,3.79,67.0,3.641,3
10Y,Industrial Products,7,Jul,5.06,4.23,6.96,67.0,12.4,-1.44,3.75,67.0,2.25,3
10Y,Industrial Products,8,Aug,1.84,3.05,5.31,75.0,6.69,-5.41,1.67,75.0,1.038,4
10Y,Industrial Products,9,Sep,1.14,-0.77,7.63,50.0,11.86,-5.74,0.82,75.0,0.428,4
10Y,Industrial Products,10,Oct,-1.01,-0.94,2.02,25.0,1.24,-3.42,-1.22,50.0,-0.127,4
10Y,Industrial Products,11,Nov,3.04,3.2,4.04,75.0,7.7,-1.95,0.23,50.0,1.138,4
10Y,Industrial Products,12,Dec,0.06,0.68,7.13,50.0,7.86,-8.98,-0.48,50.0,0.016,4
10Y,Financial Institution,1,Jan,4.46,-1.06,15.08,40.0,45.34,-5.28,4.59,90.0,1.604,10
10Y,Financial Institution,2,Feb,-6.3,-8.98,9.32,40.0,6.88,-22.56,-5.28,70.0,-1.763,10
10Y,Financial Institution,3,Mar,0.4,1.16,12.09,50.0,12.57,-23.56,-0.37,70.0,0.14,10
10Y,Financial Institution,4,Apr,5.0,4.66,8.1,80.0,16.98,-7.98,1.84,60.0,2.399,10
10Y,Financial Institution,5,May,0.97,-2.36,9.88,50.0,13.99,-9.83,-0.37,50.0,0.244,10
10Y,Financial Institution,6,Jun,3.98,1.7,12.84,70.0,35.77,-9.21,2.38,80.0,2.228,10
10Y,Financial Institution,7,Jul,5.26,8.91,13.79,60.0,23.35,-17.51,2.18,60.0,1.893,10
10Y,Financial Institution,8,Aug,2.04,0.09,8.18,50.0,16.38,-7.28,0.6,70.0,0.713,10
10Y,Financial Institution,9,Sep,-0.49,-4.43,15.17,30.0,36.58,-18.65,-0.22,80.0,-0.118,10
10Y,Financial Institution,10,Oct,2.89,3.7,7.63,60.0,13.76,-7.94,1.99,60.0,1.042,10
10Y,Financial Institution,11,Nov,4.69,0.08,13.22,50.0,31.77,-6.65,2.78,90.0,2.11,10
10Y,Financial Institution,12,Dec,7.31,4.43,10.84,60.0,30.8,-3.3,5.76,90.0,3.947,10
