Period,Sector,Month,Month_Name,Avg%,Median%,StdDev%,Win%,Best%,Worst%,Alpha%,Consistency%,Score,N_Years
15Y,Iron & Steel Products,1,Jan,0.88,-2.05,11.07,40.0,23.2,-15.35,0.12,67.0,0.235,15
15Y,Iron & Steel Products,2,Feb,-2.02,-3.47,9.88,47.0,14.15,-20.63,-0.93,67.0,-0.628,15
15Y,Iron & Steel Products,3,Mar,1.85,5.89,16.53,60.0,22.6,-42.07,0.65,80.0,0.887,15
15Y,Iron & Steel Products,4,Apr,7.81,7.91,7.58,80.0,22.18,-4.27,5.82,67.0,4.163,15
15Y,Iron & Steel Products,5,May,-1.17,-4.92,11.88,33.0,33.9,-11.66,-2.14,93.0,-0.365,15
15Y,Iron & Steel Products,6,Jun,4.91,4.63,9.18,67.0,25.41,-8.8,3.01,73.0,2.402,15
15Y,Iron & Steel Products,7,Jul,2.71,1.36,9.29,53.0,18.11,-11.53,0.8,67.0,0.962,15
15Y,Iron & Steel Products,8,Aug,0.61,0.05,11.96,53.0,35.59,-15.14,0.75,80.0,0.262,15
15Y,Iron & Steel Products,9,Sep,1.06,2.88,6.7,60.0,8.63,-16.29,0.44,67.0,0.424,15
15Y,Iron & Steel Products,10,Oct,4.29,2.32,6.1,80.0,19.73,-3.71,2.21,80.0,2.744,15
15Y,Iron & Steel Products,11,Nov,1.28,1.51,8.2,60.0,14.78,-17.92,0.34,73.0,0.564,15
15Y,Iron & Steel Products,12,Dec,3.63,1.97,7.31,67.0,22.52,-7.85,2.95,80.0,1.936,15
